ts,queue,spans_parts,traces_parts,spans_rows,traces_rows
1779476415,0,4,4,177156,6960
1779476422,66,6,6,177736,6991
1779476430,111,5,6,179496,7077
1779476437,170,7,5,181156,7160
1779476443,228,8,6,182896,7249
1779476450,271,9,5,184876,7347
1779476457,327,9,5,186736,7439
1779476464,381,8,5,188556,7531
1779476472,429,8,7,190616,7634
1779476481,481,9,6,192136,7712
1779476488,507,8,6,193576,7781
1779476495,498,8,5,194856,7848
1779476500,429,7,5,196156,7910
1779476507,389,8,5,197116,7958
1779476514,334,6,5,198196,8012
1779476521,280,6,6,199216,8066
1779476528,227,7,5,200256,8118
1779476534,149,3,5,201916,8201
1779476544,89,4,5,203116,8261
1779476552,25,5,5,204376,8321
1779476559,0,7,5,204736,8339
1779476565,0,7,5,204736,8339
1779476571,0,7,5,204736,8339
1779476579,0,7,5,204736,8339
1779476585,0,7,5,204736,8339
1779476591,0,7,5,204736,8339
