ts,queue,spans_parts,traces_parts,spans_rows,traces_rows
1779402736,0,5,3,21310,1067
1779402742,0,6,4,22830,1143
1779402751,0,5,2,24390,1221
1779402758,0,5,5,26450,1326
1779402766,0,4,2,29830,1494
1779402776,0,8,5,33390,1671
1779402786,0,2,5,37770,1890
1779402804,0,3,5,41790,2091
1779402823,0,7,1,42510,2128
1779402833,0,6,4,46070,2307
1779402847,0,6,7,48970,2456
1779402858,0,3,5,52270,2615
1779402870,0,6,5,54550,2729
1779402881,0,6,5,54550,2729
1779402888,0,6,5,54550,2729
1779402894,0,6,5,54550,2729
1779402902,0,6,5,54550,2729
1779402909,0,6,5,54550,2729
1779402916,0,6,5,54550,2729
1779402922,0,6,5,54550,2729
1779402928,0,6,5,54550,2729
1779402933,0,6,5,54550,2729
1779402939,0,8,3,57630,2884
1779402948,0,6,6,61070,3056
1779402957,0,6,2,62210,3112
1779402965,0,6,2,62210,3112
1779402971,0,6,2,62210,3112
1779402978,0,6,2,62210,3112
1779402985,0,6,2,62210,3112
1779402992,0,6,2,62210,3112
1779402999,0,6,2,62210,3112
1779403006,0,6,2,62210,3112
1779403012,0,6,2,62210,3112
1779403019,0,6,2,62210,3112
1779403026,0,6,2,62210,3112
1779403032,0,6,2,62210,3112
1779403039,0,6,2,62210,3112
1779403045,0,6,2,62210,3112
1779403051,0,6,2,62210,3112
1779403057,0,6,2,62210,3112
1779403063,0,6,2,62210,3112
1779403069,0,6,2,62210,3112
1779403076,0,6,2,62210,3112
1779403082,0,6,2,62210,3112
1779403088,0,6,2,62210,3112
1779403095,0,6,2,62210,3112
1779403101,0,6,2,62210,3112
1779403107,0,6,2,62210,3112
1779403112,0,6,2,62210,3112
1779403118,0,6,2,62210,3112
