ts,queue,spans_parts,traces_parts,spans_rows,traces_rows
1779475114,0,2,4,142990,5250
1779475120,64,4,5,143030,5253
1779475127,169,7,5,143750,5288
1779475134,277,6,5,144430,5322
1779475141,391,7,5,145110,5356
1779475148,500,7,5,145810,5391
1779475156,629,6,6,146590,5431
1779475164,751,7,5,147270,5464
1779475172,864,6,6,147910,5497
1779475179,979,6,5,148550,5528
1779475185,953,6,5,149190,5560
1779475191,921,6,5,149810,5592
1779475197,889,6,5,150410,5622
1779475203,860,7,5,151050,5653
1779475210,829,6,5,151650,5683
1779475216,799,6,5,152250,5714
1779475222,767,6,6,152890,5746
1779475228,734,7,5,153590,5780
1779475235,699,8,5,154250,5814
1779475241,669,7,5,154850,5843
1779475247,639,7,5,155450,5874
1779475254,609,7,5,156110,5906
1779475261,576,8,5,156750,5938
1779475268,543,7,5,157390,5970
1779475275,510,6,5,158030,6002
1779475281,479,7,5,158670,6034
1779475287,446,8,6,159330,6068
1779475294,0,6,5,159590,6080
1779475302,0,6,5,159590,6080
1779475311,0,6,5,159590,6080
1779475323,0,6,5,159590,6080
1779475336,0,6,5,159590,6080
1779475346,0,6,5,159590,6080
1779475362,0,6,5,159590,6080
1779475375,0,6,5,159590,6080
1779475387,0,6,5,159590,6080
1779475395,0,6,5,159590,6080
1779475401,0,6,5,159590,6080
1779475407,0,6,5,159590,6080
1779475412,0,6,5,159590,6080
1779475417,0,6,5,159590,6080
1779475423,0,6,5,159590,6080
1779475429,0,6,5,159590,6080
1779475435,0,6,5,159590,6080
1779475441,0,6,5,159590,6080
1779475447,0,6,5,159590,6080
1779475453,0,6,5,159590,6080
1779475458,0,6,5,159590,6080
1779475464,0,6,5,159590,6080
1779475469,0,6,5,159590,6080
