ts,queue,spans_parts,traces_parts,spans_rows,traces_rows
1779475723,0,7,5,159593,6081
1779475729,90,3,6,160193,6112
1779475736,253,6,5,160953,6150
1779475744,409,3,5,161633,6183
1779475751,509,8,5,162253,6214
1779475757,501,7,6,162893,6246
1779475763,502,7,5,163533,6278
1779475770,504,7,6,164153,6310
1779475776,501,8,5,164793,6341
1779475781,503,8,5,165413,6372
1779475788,503,6,5,166053,6404
1779475794,502,7,5,166653,6434
1779475799,501,3,6,167273,6466
1779475806,480,6,6,167873,6496
1779475811,450,7,6,168473,6526
1779475817,420,8,5,169093,6556
1779475823,391,9,5,169653,6584
1779475828,363,8,5,170213,6612
1779475834,333,6,5,170813,6642
1779475839,304,4,6,171393,6672
1779475845,275,3,6,171973,6701
1779475851,247,4,5,172533,6728
1779475856,218,3,5,173133,6758
1779475863,189,6,5,173693,6787
1779475868,160,4,5,174273,6815
1779475874,130,5,5,174873,6845
1779475879,108,7,5,175313,6868
1779475886,80,6,5,175893,6896
1779475892,53,7,5,176433,6924
1779475898,21,4,5,177073,6955
1779475906,8,3,5,177153,6959
1779475912,8,3,5,177153,6959
1779475917,8,3,5,177153,6959
1779475923,0,3,5,177153,6959
1779475929,0,4,5,177156,6960
1779475935,0,4,5,177156,6960
1779475940,0,4,5,177156,6960
1779475946,0,4,5,177156,6960
