ts,queue,spans_parts,traces_parts,spans_rows,traces_rows
1779401844,0,1,1,5,1
1779401850,0,4,1,905,47
1779401861,0,2,5,2125,107
1779401868,0,3,4,3145,158
1779401876,0,5,2,4405,221
1779401883,0,6,1,5685,285
1779401891,0,5,5,7145,359
1779401900,0,8,3,8405,422
1779401907,0,7,5,9665,484
1779401915,0,3,3,11125,557
1779401926,0,5,4,12325,618
1779401933,0,6,1,13585,680
1779401941,0,4,2,15105,756
1779401949,0,4,4,16745,838
1779401957,0,4,5,17765,889
1779401965,0,6,2,18885,946
1779401973,0,5,2,20405,1022
1779401981,0,4,2,21305,1066
1779401987,0,4,2,21305,1066
1779401993,0,4,2,21305,1066
1779401999,0,4,2,21305,1066
1779402005,0,4,2,21305,1066
1779402011,0,4,2,21305,1066
1779402017,0,4,2,21305,1066
1779402023,0,4,2,21305,1066
1779402029,0,4,2,21305,1066
1779402035,0,4,2,21305,1066
1779402041,0,4,2,21305,1066
1779402047,0,4,2,21305,1066
1779402054,0,4,2,21305,1066
1779402059,0,4,2,21305,1066
1779402065,0,4,2,21305,1066
1779402071,0,4,2,21305,1066
1779402077,0,4,2,21305,1066
1779402084,0,4,2,21305,1066
1779402090,0,4,2,21305,1066
1779402096,0,4,2,21305,1066
1779402102,0,4,2,21305,1066
1779402109,0,4,2,21305,1066
1779402116,0,4,2,21305,1066
1779402122,0,4,2,21305,1066
1779402128,0,4,2,21305,1066
1779402134,0,4,2,21305,1066
1779402140,0,4,2,21305,1066
1779402146,0,4,2,21305,1066
1779402153,0,4,2,21305,1066
1779402159,0,4,2,21305,1066
1779402166,0,4,2,21305,1066
1779402174,0,4,2,21305,1066
1779402182,0,4,2,21305,1066
