ts,queue,spans_parts,traces_parts,spans_rows,traces_rows
1779474310,0,4,3,79540,3981
1779474316,0,7,3,85290,4098
1779474325,0,8,5,92140,4236
1779474336,0,5,5,98790,4372
1779474344,0,7,5,105340,4502
1779474352,0,6,5,113190,4659
1779474360,0,8,6,120790,4810
1779474370,0,8,5,128640,4963
1779474379,0,5,5,141190,5218
1779474393,0,2,5,142990,5250
1779474402,0,2,5,142990,5250
1779474411,0,2,5,142990,5250
1779474421,0,2,5,142990,5250
1779474430,0,2,5,142990,5250
1779474438,0,2,5,142990,5250
1779474446,0,2,5,142990,5250
1779474452,0,2,5,142990,5250
1779474459,0,2,5,142990,5250
1779474465,0,2,5,142990,5250
1779474471,0,2,5,142990,5250
1779474477,0,2,5,142990,5250
1779474484,0,2,5,142990,5250
1779474490,0,2,5,142990,5250
1779474496,0,2,5,142990,5250
1779474502,0,2,5,142990,5250
1779474508,0,2,5,142990,5250
1779474515,0,2,5,142990,5250
1779474521,0,2,5,142990,5250
1779474527,0,2,5,142990,5250
1779474533,0,2,5,142990,5250
1779474539,0,2,5,142990,5250
1779474545,0,2,5,142990,5250
1779474550,0,2,5,142990,5250
1779474557,0,2,5,142990,5250
1779474562,0,2,5,142990,5250
1779474568,0,2,5,142990,5250
1779474574,0,2,5,142990,5250
1779474580,0,2,5,142990,5250
1779474586,0,2,5,142990,5250
1779474593,0,2,5,142990,5250
1779474599,0,2,5,142990,5250
1779474605,0,2,5,142990,5250
1779474611,0,2,5,142990,5250
1779474617,0,2,5,142990,5250
1779474623,0,2,4,142990,5250
1779474629,0,2,4,142990,5250
1779474635,0,2,4,142990,5250
1779474641,0,2,4,142990,5250
1779474646,0,2,4,142990,5250
1779474652,0,2,4,142990,5250
